3660800365518000015,"1 974 925,54 ",30.07.2018,31.12.2018,Электронный аукцион,"ЕКАТЕРИНБУРГСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""СПЕЦИАЛИЗИРОВАННАЯ АВТОБАЗА""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕЦРЕГИОН"" (ООО ""СПЕЦРЕГИОН"")",6608003655,6664079721,01.09.2011,"['620010, ОБЛ СВЕРДЛОВСКАЯ 66, Г ЕКАТЕРИНБУРГ, УЛ ПРОФСОЮЗНАЯ, ДОМ 51, КВАРТИРА 15']",7-343-2260122,tender@specregion.ru,14.12.30.190,Белье
1770989550919007394,"1 460 823,00 ",05.12.2019,30.06.2020,"Закупка у единственного поставщика (подрядчика, исполнителя)","МЕЖРЕГИОНАЛЬНЫЙ ФИЛИАЛ ФЕДЕРАЛЬНОГО КАЗЕННОГО УЧРЕЖДЕНИЯ ""ЦЕНТР ПО ОБЕСПЕЧЕНИЮ ДЕЯТЕЛЬНОСТИ КАЗНАЧЕЙСТВА РОССИИ"" В Г. ЕКАТЕРИНБУРГЕ",ПЫТАЛЕВ АНДРЕЙ СТЕПАНОВИЧИндивидуальный предприниматель,7709895509,773671146984,20.07.2018,['Г МОСКВА 77'],8-912-4150862,pzs_arenda@mail.ru,68.20.12.000,"Передача во временное владение и пользование части помещений административного здания, расположенные по адресу: Ханты-Мансийский автономный округ – Югра, г. Нефтеюганск, микрорайон 2, дом 32 (Декабрь 2019)"
3666005552917000109,"5 347 130,00 ",13.09.2017,31.12.2017,"Закупка у единственного поставщика (подрядчика, исполнителя)","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЕКАТЕРИНБУРГСКИЙ КЛИНИЧЕСКИЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР""","Общество с ограниченной ответственностью ""МО ""Отдел медицинской техники""",6660055529,6658126476,08.02.2001,"['620102, г. Екатеринбург, ул. Ясная, 46']",(343) 231-80-10,omt@omt-ural.ru,26.60.13.190,"Устройство терморегулирующее ""Аллон 2001"""
3668200734219000001,"3 361 200,00 ",08.04.2019,30.09.2019,Электронный аукцион,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ОБРАЗОВАНИЯ ГОРОДСКОГО ОКРУГА ВЕРХНИЙ ТАГИЛ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕКАТЕРИНБУРГСКОЕ ТУРИСТИЧЕСКОЕ АГЕНТСТВО"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕКАТЕРИНБУРГСКОЕ ТУРИСТИЧЕСКОЕ АГЕНТСТВО"")",6682007342,6672249991,01.01.2012,"['620026, ОБЛ СВЕРДЛОВСКАЯ 66, Г ЕКАТЕРИНБУРГ, УЛ СОНИ МОРОЗОВОЙ, 180, 69']",7-343-3787200,102@eta-info.ru,86.90.19.140,"Предоставление услуг по организации отдыха и оздоровления детей и подростков от 6,6 до 17 лет в детских санаториях и санаторно-оздоровительных лагерях круглогодичного действия в 2019 году."
3661100106218000013,"1 200 000,00 ",29.03.2018,31.12.2018,"Закупка у единственного поставщика (подрядчика, исполнителя)","МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""КОМБИНАТ ШКОЛЬНОГО И СТУДЕНЧЕСКОГО ПИТАНИЯ"" МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД ИРБИТ","ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭНЕРГОСБЫТ ПЛЮС"" (ОАО ""ЭНЕРГОСБЫТ ПЛЮС"")",6611001062,5612042824,22.05.2014,"['143421, ОБЛ МОСКОВСКАЯ 50, Р-Н КРАСНОГОРСКИЙ, АВТОДОРОГА БАЛТИЯ, ТЕР 26 КМ БИЗНЕС-ЦЕНТР РИГА-ЛЕНД, 3']",8-34355-52497,sesb@ies-holding.com,35.11.10.115,"Электроэнергия, произведенная атомными электростанциями (АЭС) общего назначения"
3667700541320000004,"1 057 011,60 ",11.02.2020,31.12.2020,"Закупка у единственного поставщика (подрядчика, исполнителя)","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ФИЗКУЛЬТУРНО-СПОРТИВНЫЙ ЦЕНТР"" МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ АЛАПАЕВСКОЕ","НЕПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СВЕЗА ВЕРХНЯЯ СИНЯЧИХА"" (НЕПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СВЕЗА ВЕРХНЯЯ СИНЯЧИХА"")",6677005413,6635000195,01.09.2011,"['624690, ОБЛ СВЕРДЛОВСКАЯ 66, Р-Н АЛАПАЕВСКИЙ, ПГТ ВЕРХНЯЯ СИНЯЧИХА, УЛ КЕДРОВАЯ, 1']",7-34346-97318,sveza_vs@sveza.com,35.30.11.120,Энергия тепловая
3664601148817000083,"15 718 535,06 ",11.09.2017,31.10.2018,Электронный аукцион,АДМИНИСТРАЦИЯ МИХАЙЛОВСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ,"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ГАЗОВЫЕ СЕТИ""",6646011488,6659106560,03.07.2008,"['620014, Свердловская область, город Екатеринбург, улица Радищева, 2 / 8 марта ул 28']",7-343-2578887,gazseti@gazseti.ru,42.21.22.190,"""Расширение сети газопроводов для газоснабжения жилых домов ПКГЖБ ""Юго-Западный"" г.Михайловске"" 3-этап. Газопроводы низкого давления ШРП-8."
3662200236420000012,"6 848 560,47 ",06.04.2020,15.07.2020,"Электронный аукцион на проведение работ по строительству, реконструкции, кап. ремонту, сносу объекта кап. строительства, предусматривающих проектную документацию, утвержденную в порядке, установленном законодательством о градостроительной деятельности",АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА НИЖНЯЯ САЛДА,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРАЛСТРОЙИНВЕСТЦЕНТР"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРАЛСТРОЙИНВЕСТЦЕНТР"")",6622002364,6623044462,28.11.2007,"['622002, ОБЛ СВЕРДЛОВСКАЯ 66, Г НИЖНИЙ ТАГИЛ, УЛ КОСМОНАВТОВ, 34, 47']",7-922-6183841,str_invest@list.ru,42.21.21.000,Работы строительные по прокладке магистральных трубопроводов
2665813563221000021,"9 503 478,92 ",09.02.2021,31.12.2022,"Закупка у единственного поставщика (подрядчика, исполнителя)",ДЕПАРТАМЕНТ ПО ОБЕСПЕЧЕНИЮ ДЕЯТЕЛЬНОСТИ МИРОВЫХ СУДЕЙ СВЕРДЛОВСКОЙ ОБЛАСТИ,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭНЕРГОСБЫТ ПЛЮС""",6658135632,5612042824,22.05.2014,"['МОСКОВСКАЯ ОБЛАСТЬ РАЙОН КРАСНОГОРСКИЙ, АВТОДОРОГА БАЛТИЯ ТЕРРИТОРИЯ 26 КМ БИЗНЕС-ЦЕНТР РИГА-ЛЕНД, СТРОЕНИЕ 3, ОФИС 513']",8-353-2797597,tatyana.karepanova@esplus.ru,,1
1666401583021000001,"1 308 000,00 ",20.04.2021,26.07.2021,Электронный аукцион,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""СВЕРДЛОВСКИЙ РЕФЕРЕНТНЫЙ ЦЕНТР ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО ВЕТЕРИНАРНОМУ И ФИТОСАНИТАРНОМУ НАДЗОРУ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕОТЕСТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕОТЕСТ"")",6664015830,6727035470,18.05.2020,"['215800, ОБЛ СМОЛЕНСКАЯ 67, Г ЯРЦЕВО, УЛ 2-Я МАШИНОСТРОИТЕЛЬНАЯ, СТРОЕНИЕ 9, ОФИС 209Б']",7-499-6490201,info@neo-test.ru,20.59.52.199,1
