,id,price,signed,deadline,method,procurer,supplier,proinn,supinn,registered,address,number,mail,code,product
0,3663700292016000003,1090100.00,01.01.2016,31.12.2016,"Закупка у единственного поставщика (подрядчика, исполнителя)","Муниципальное казенное общеобразовательное учреждение Ачитского городского округа ""Заринская средняя общеобразовательная школа""",МУНИЦИПАЛЬНОЕ УНИТАРНОЕ  ПРЕДПРИЯТИЕ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА АЧИТСКОГО ГОРОДСКОГО ОКРУГА (МУП ЖКХ АГО),6637002920,6637000320,30.06.1991,"['623230, обл СВЕРДЛОВСКАЯ 66, рп АЧИТ, ул СВОБОДЫ, 2']",7-34391-71352,gkhmup@mail.ru,35.30.11.120,"Энергия тепловая, отпущенная котельными"
1,3662901853216000013,3809046.77,01.01.2016,31.12.2016,"Закупка у единственного поставщика (подрядчика, исполнителя)","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""СПОРТИВНЫЙ КЛУБ ""КЕДР"" НОВОУРАЛЬСКОГО ГОРОДСКОГО ОКРУГА","""НОВОУРАЛЬСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВОУРАЛЬСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ"")",6629018532,6629018839,20.03.2006,"['624130, обл СВЕРДЛОВСКАЯ 66, г НОВОУРАЛЬСК, ул САДОВАЯ, 15, А']",7-34370-98864,nuesk@novotec.ru,35.12.10.110,Услуги по передаче электроэнергии
2,2664900094216000110,1017585.84,01.01.2016,31.12.2016,"Закупка у единственного поставщика (подрядчика, исполнителя)","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ПЫШМИНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""","МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""АВАРИЙНО-ВОССТАНОВИТЕЛЬНАЯ СЛУЖБА"" (МУП ""АВАРИЙНО-ВОССТАНОВИТЕЛЬНАЯ СЛУЖБА"")",6649000942,6649003453,27.03.2002,"['623550, обл СВЕРДЛОВСКАЯ 66, р-н ПЫШМИНСКИЙ, рп ПЫШМА, ул ГАГАРИНА, 13']",7-34372-25656,avs-pishma@mail.ru,36.00.20.160,Услуги по подключению (технологическому присоединению) к централизованной системе водоснабжения
3,3666404193616000002,1859163.54,01.01.2016,31.12.2016,"Закупка у единственного поставщика (подрядчика, исполнителя)",МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ - СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 55,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС"" (ПАО ""Т ПЛЮС"")",6664041936,6315376946,15.06.2015,"['143421, обл МОСКОВСКАЯ 50, р-н КРАСНОГОРСКИЙ, автодорога БАЛТИЯ, тер БИЗНЕС-ЦЕНТР РИГА-ЛЕНД, СТРОЕНИЕ 3']",7-343-3555413,N.G.Maltseva@ies-holding.com,35.30.12.140,Услуги по подключению (технологическому присоединению) к централизованной системе горячего водоснабжения
4,1666000816616000004,6974357.47,01.01.2016,31.12.2016,"Закупка у единственного поставщика (подрядчика, исполнителя)",ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ НАУКИ ИНСТИТУТ МАТЕМАТИКИ И МЕХАНИКИ ИМ. Н.Н. КРАСОВСКОГО УРАЛЬСКОГО ОТДЕЛЕНИЯ РОССИЙСКОЙ АКАДЕМИИ НАУК,ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ  АДМИНИСТРАТИВНО-ХОЗЯЙСТВЕННОЕ УПРАВЛЕНИЕ УРАЛЬСКОГО ОТДЕЛЕНИЯ РОССИЙСКОЙ АКАДЕМИИ НАУК (АХУ УРО РАН),6660008166,6660011200,15.11.1994,"['620990, обл СВЕРДЛОВСКАЯ 66, г ЕКАТЕРИНБУРГ, ул ПЕРВОМАЙСКАЯ, 91']",7-343-3744454,energetik_ahu@mail.ru,35.12.10.110,Услуги по передаче электроэнергии
5,2662400243317000100,7405163.13,01.01.2016,31.12.2016,"Закупка у единственного поставщика (подрядчика, исполнителя)","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""НИЖНЕТУРИНСКАЯ ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОРОДСКАЯ ЭНЕРГОСЕРВИСНАЯ КОМПАНИЯ"" (-)",6624002433,6670007965,19.05.2014,"['624221, ОБЛ СВЕРДЛОВСКАЯ 66, Г НИЖНЯЯ ТУРА, УЛ 40 ЛЕТ ОКТЯБРЯ, ДОМ 10Б']",7-34342-23849,post-ntr@gesko.org,35.30.11.120,"Энергия тепловая, отпущенная котельными"
6,3663900624716000008,1812000.00,01.01.2016,31.12.2016,"Закупка у единственного поставщика (подрядчика, исполнителя)","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ  ДЕТСКИЙ САД №34 ""РОДНИЧОК""","Общество с ограниченной ответственностью ""Косулинское производственное предприятие"" (Обшество с ограниченной ответственностью ""Косулинское производственное предприятие"")",6639006247,6639016608,14.08.2007,"['624055, обл Свердловская 66, р-н Белоярский, с Косулино, ул Строителей, 6']",7-34377-46168,kosylinskoepp@mail.ru,35.30.11.120,"Энергия тепловая, отпущенная котельными"
7,3660603723216000005,1576006.92,01.01.2016,31.12.2016,"Закупка у единственного поставщика (подрядчика, исполнителя)","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАТИВНО-ХОЗЯЙСТВЕННОЕ УПРАВЛЕНИЕ""","ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭНЕРГОСБЫТ ПЛЮС"" (ОАО ""ЭНЕРГОСБЫТ ПЛЮС"")",6606037232,5612042824,22.05.2014,"['143421, обл МОСКОВСКАЯ 50, р-н КРАСНОГОРСКИЙ, автодорога БАЛТИЯ, тер БИЗНЕС-ЦЕНТР РИГА-ЛЕНД, 3']",8-343-3576912,mku-ahu@mail.ru,35.11.10.116,"Электроэнергия, произведенная гидроэлектростанциями (ГЭС) общего назначения"
8,2662400243317000110,2746628.00,01.01.2016,31.12.2016,"Закупка у единственного поставщика (подрядчика, исполнителя)","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""НИЖНЕТУРИНСКАЯ ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА""","ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭНЕРГОСБЫТ ПЛЮС"" (ОАО ""ЭНЕРГОСБЫТ ПЛЮС"")",6624002433,5612042824,22.05.2014,"['143421, ОБЛ МОСКОВСКАЯ 50, Р-Н КРАСНОГОРСКИЙ, АВТОДОРОГА БАЛТИЯ, ТЕР 26 КМ БИЗНЕС-ЦЕНТР РИГА-ЛЕНД, 3']",8-34342-21310,sesd@ies-holding.com,35.11.10.112,"Электроэнергия, произведенная теплоэлектроцентралями (ТЭЦ) общего назначения"
9,1666300920016000005,1550000.00,01.01.2016,31.12.2016,Электронный аукцион,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""УРАЛЬСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ""",Ананьин С ВИндивидуальный предприниматель,6663009200,15.08.2013,15.08.2013,"['620089 г. Екатеринбург, ул. Родонитовая, д. 15']",7-343-2131713,1111@mail.ru,26.30.11.190,"Аппаратура коммуникационная передающая с приемными устройствами прочая, не включенная в другие группировки"
