,id,price,signed,deadline,method,procurer,supplier,proinn,supinn,registered,address,number,mail,code,product
61,1666101454016000286,"2 950 338,83 ",2016-01-11,2016-12-22,Электронный аукцион,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""354 ВОЕННЫЙ КЛИНИЧЕСКИЙ ГОСПИТАЛЬ"" МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АПЕЙРОН"" (ООО ""АПЕЙРОН"")",,6679050080,07.05.2014,"['620089, обл СВЕРДЛОВСКАЯ 66, г ЕКАТЕРИНБУРГ, ул РОДОНИТОВАЯ, 3, 2, 94']",7-343-2195431,apeiron2014@mail.ru,32.50.50.000,Поставка расходных материалов
132,2663200681916000001,"2 499 776,00 ",2016-01-29,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)","государственное бюджетное профессиональное образовательное учреждение Свердловской области ""Серовский политехнический техникум""","ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭНЕРГОСБЫТ ПЛЮС"" (ОАО ""ЭНЕРГОСБЫТ ПЛЮС"")",6632006819,5612042824,22.05.2014,"['143421, обл МОСКОВСКАЯ 50, р-н КРАСНОГОРСКИЙ, автодорога БАЛТИЯ, тер БИЗНЕС-ЦЕНТР РИГА-ЛЕНД, 3']",7-34385-60792,sesb@ies-holding.com,35.13.10.000,Поставка электрической энергии
134,3663900278916000001,"1 240 700,00 ",2016-01-25,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ  ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""БОЛЬШЕБРУСЯНСКАЯ  СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 7""","МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""НОВЫЕ ТЕХНОЛОГИИ"" БЕЛОЯРСКОГО ГОРОДСКОГО ОКРУГА (МУП ""НОВЫЕ ТЕХНОЛОГИИ"" БГО)",6639002789,6683008067,10.02.2015,"['624030, обл СВЕРДЛОВСКАЯ 66, р-н БЕЛОЯРСКИЙ, рп БЕЛОЯРСКИЙ, ул ХИМИКОВ, 12']",343-77-74928,Beloyarsk@rcurala.ru,35.30.11.119,Коммунальные услуги - теплоснабжение
182,3662400708616000005,"1 284 297,19 ",2016-01-03,2016-12-31,Электронный аукцион,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №2""",Килина Елена ЮрьевнаИндивидуальный предприниматель,6624007086,662400105623,15.03.2011,"['624221 Свердловская обл., г. Нижняя Тура, ул. Декабристов,27-25']",7-912-6678681,kilina62@mail.ru,56.29.20.120,"Организация услуги по организации горячего питания (одноразового) для учащихся МБОУ ""СОШ №2"""
317,3661201544516000008,"2 041 652,88 ",2016-01-25,2016-12-31,Электронный аукцион,"муниципальное казенное учреждение ""Управление городского хозяйства""",ГРИГОРЬЕВ ВЛАДИМИР АЛЕКСАНДРОВИЧИндивидуальный предприниматель,6612015445,661203005272,19.11.2013,"['623412, ОБЛ СВЕРДЛОВСКАЯ 66, Г КАМЕНСК-УРАЛЬСКИЙ, УЛ КАМЕНСКАЯ, 57, 64']",7-912-2550099,v.g.metresurs@mail.ru,81.30.10.000,"Содержание газонов, цветников, зеленых насаждений."
326,1660300848016000002,"4 377 500,00 ",2016-01-01,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)","федеральное государственное бюджетное специальное учебно-воспитательное учреждение для детей и подростков с девиантным поведением ""Рефтинское специальное профессиональное училище закрытого типа № 1""","ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭНЕРГОСБЫТ ПЛЮС"" (ОАО ""ЭНЕРГОСБЫТ ПЛЮС"")",6603008480,5612042824,22.05.2014,"['143421, обл МОСКОВСКАЯ 50, р-н КРАСНОГОРСКИЙ, автодорога БАЛТИЯ, тер БИЗНЕС-ЦЕНТР РИГА-ЛЕНД, 3']",7-34376-51799,sesb@ies-holding.com,35.11.10.111,поставка электроэнергии
327,2661900303016000004,"2 110 779,14 ",2016-01-01,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""КРАСНОУФИМСКИЙ ПЕДАГОГИЧЕСКИЙ КОЛЛЕДЖ""","ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭНЕРГОСБЫТ ПЛЮС"" (ОАО ""ЭНЕРГОСБЫТ ПЛЮС"")",6619003030,5612042824,22.05.2014,"['143421, обл МОСКОВСКАЯ 50, р-н КРАСНОГОРСКИЙ, автодорога БАЛТИЯ, тер БИЗНЕС-ЦЕНТР РИГА-ЛЕНД, 3']",7-34394-51285,sesb@ies-holding.com,35.12.10.110,Поставка электрической энергии
328,2662300062716000001,"6 057 876,39 ",2016-01-01,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""НИЖНЕТАГИЛЬСКИЙ ДЕТСКИЙ ДОМ-ШКОЛА""","НИЖНЕТАГИЛЬСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""НИЖНЕТАГИЛЬСКИЕ ТЕПЛОВЫЕ СЕТИ"" (НТ МУП ""НТТС"")",6623000627,6623075742,03.02.2011,"['622002, обл СВЕРДЛОВСКАЯ 66, г НИЖНИЙ ТАГИЛ, ул ЧЕРНЫХ, 16']",7-3435-230106,post@nt-ts.ru,35.30.11.120,Поставка тепловой энергии
329,3661500670616000003,"3 902 240,12 ",2016-01-01,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)","МУНИЦИПАЛЬНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №2""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЧКАНАРСКАЯ ТЕПЛОСНАБЖАЮЩАЯ КОМПАНИЯ"" (ООО ""КАЧКАНАРСКАЯ ТЕПЛОСНАБЖАЮЩАЯ КОМПАНИЯ"")",6615006706,6615015348,28.11.2011,"['624351, обл СВЕРДЛОВСКАЯ 66, г КАЧКАНАР, ул СВЕРДЛОВА, 7, А']",7-343-4164805,svetlana.makarova2@evraz.com,35.30.11.111,отопление
330,1662601217016000002,"1 141 920,00 ",2016-01-01,2016-12-31,Открытый конкурс,ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ - УПРАВЛЕНИЕ ПЕНСИОННОГО ФОНДА РОССИЙСКОЙ ФЕДЕРАЦИИ В ГОРОДЕ ПОЛЕВСКОМ СВЕРДЛОВСКОЙ ОБЛАСТИ,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЧАСТНОЕ ОХРАННОЕ ПРЕДПРИЯТИЕ ""СПЕЦИАЛЬНЫЙ ОТРЯД ОХРАНЫ ПРАВОПОРЯДКА РЫСЬ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЧАСТНОЕ ОХРАННОЕ ПРЕДПРИЯТИЕ ""СПЕЦИАЛЬНЫЙ ОТРЯД ОХРАНЫ ПРАВОПОРЯДКА РЫСЬ""; ООО ЧОП ""СООПР РЫСЬ"")",6626012170,6671168186,15.04.2005,"['620075, обл СВЕРДЛОВСКАЯ 66, г ЕКАТЕРИНБУРГ, пр-кт ЛЕНИНА, 36, 13']",7-343-2687979,Rys-ekb@mail.ru,80.10.12.000,Услуги охраны здания и имущества УПФР в городе Полевском Свердловской области
